"ID","Country","2010"
"1","United States","11993"
"2","Brazil","7270"
"3","China","555"
"4","Canada","304"
"5","France","277"
"6","Germany","238"
"7","Spain","159"
"8","Thailand","139"
"9","Belgium","85"
"10","Colombia","85"
