id,country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
22,Poland,99.2,103.7,107.4,110.8,115.7,119.6,122.8,131.8,135.3,126.6,108.2,124.5,126.8,127.8,128.8,131.2,132.3,132.3,122.1,103.9,99.8,97.7,97.3,97.4,99.4,99,100,87.6,83.9,79.6,80.3,80.2,79.9,78.8,78.6,77.9,72.6
23,Portugal,1.4,1.4,1.4,1.4,1.3,1.2,1.6,1.7,1.8,1.5,1.2,1.5,1.6,1.7,1.9,1.8,1.9,2.2,2.5,3.4,3.4,2.9,3.3,3.5,3.3,3.8,3.7,3.7,3.4,3.8,4.1,3.6,4.3,3.9,3.6,4.3,4.6
24,Slovak Republic,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.6,2.9,3.5,3.6,3.7,3.8,4,4.7,5.2,5.2,5.3,5.4,5.3,4.8,4.5,5,5.5,5,5,4.9,5,5.5,6.3,6.7,6.8,6.6,6.5,6.6,6.6,6
25,Spain,10.4,11.6,11.3,13.1,13.4,12.6,14.5,14.5,15.7,15.8,17.7,19.6,21.9,25.1,26.5,28.3,27.9,30.3,34.5,34.6,34.3,33.7,32.9,32.2,31.5,32.7,31.7,32.3,30.7,31.7,33.5,31.8,33,32.6,30.1,31.3,30.3
26,Sweden,7.4,7.9,9.3,9,11.7,12.4,13.2,14.9,14.7,16.1,19.3,19.1,20.9,24.3,26.9,29.1,29.4,29.8,29,29.7,31.4,29.5,29.3,31.3,31.8,32,32.4,34,33.2,30.5,33.9,31.8,30.9,34.3,34.7,32.8,33.6
27,Switzerland,2.9,3.3,4.3,4.4,5.1,4.5,5.4,5.3,6.2,7,7.6,7.7,7.8,8.1,9.4,9.5,9.8,9.9,9.4,9.7,9.8,10,10.3,10.9,10.8,10.3,10.8,11,11.5,11.5,12,11.6,11.8,11.8,10.9,12.1,12.6
28,Turkey,13.8,15.1,15.5,15.9,16.3,16.6,16.9,17.6,17.4,17.1,18.1,19,19.3,20.3,21.9,23.5,25,24.8,25.6,25.8,25.6,26.4,26.2,26.3,26.5,27.1,28,29.1,27.5,25.9,24.4,24.1,23.6,24.1,23.9,26.3,27.3
29,United Kingdom,109.8,101.1,108.5,102.7,114.8,126.6,154.7,167.4,193,197.8,207.4,221.6,233.4,205.3,238.2,247.4,242.3,233.9,209,208,214.7,215,223.4,244.6,257.5,268.9,268.3,271.9,281.6,272.4,262.3,258.3,246.6,225.6,205,186.6,176.2
30,United States,1436.4,1464.6,1456.2,1428.4,1407.6,1418.4,1445.1,1466.5,1526,1553.3,1547.8,1529.5,1468.2,1588.3,1569.4,1557.8,1590.9,1618.5,1616.4,1649.4,1639.1,1643.8,1597.7,1661.1,1661,1685.5,1683.7,1696.9,1678.5,1675.3,1697.3,1664.6,1633.4,1644.4,1629.9,1653.5,1665.2
31,EU27 total,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,944.7,936.9,926.4,928.8,938.2,960.3,988.2,980.3,953.4,955,946.3,946,944.7,937.2,934,900.2,881,860.6
32,OECD total,2343.7,2407.2,2446.3,2433.4,2460.1,2502.1,2597.9,2674.3,2833.9,2907.4,2949.2,2999.5,2993.8,3168.3,3251.4,3261.9,3351,3385.5,3389.7,3420,3452.9,3478.2,3480.8,3594.9,3660,3762.3,3795.8,3805.8,3786.8,3824.2,3865.5,3843.5,3807,3851,3827.5,3836,3832.9
33,Brazil,49,50.3,51.2,53.4,53.9,54.1,55.8,57.1,60.5,64.3,66.4,70.8,80,93.9,102.2,101.7,105.2,104.5,107.3,103.7,104.3,104.3,105.2,110.2,111.5,118,126.1,133.3,141.7,148.4,152.4,167.7,178.4,183.1,195.3,206.8,215.6
34,Chile,5.3,5.4,5.1,5.1,5,5.2,5.3,5.3,5,5.8,6.2,6.4,6.5,6.8,6.8,7,7.1,7.2,7.4,7.4,7.9,8.2,7.7,7.9,7.8,7.9,8.4,8.1,7.5,8.2,8.7,8.7,8.3,8.1,8.9,9.1,8.5
35,China,394.1,414.7,431.4,446.1,497.1,511.8,556.1,604.2,618.5,615.5,612.3,637.8,669.3,717.2,743.5,763,785.6,817.1,858.6,886.3,894.8,912,940.5,992.4,1065.9,1095.4,1094.3,1083.5,1059.6,1061,1089.7,1166.2,1311.2,1486.5,1615.6,1718.4,1814
36,Estonia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.1,4.5,4.2,3,3.2,3,3.5,3.5,3,2.8,2.9,3,3.2,3.7,3.5,3.9,3.7,4.4
37,India,141.5,145.8,148.9,156.5,165.6,169.8,174.1,177.5,180.8,186.8,199.9,210.5,221.2,232.9,239.1,250.6,258.7,272.4,280.9,291.1,300.7,305.4,308.9,320.1,334.7,341.2,351.6,350.3,357.4,364.3,372.3,381.4,394.3,407.4,420.3,435.8,450.9
38,Indonesia,72.8,82.6,95.8,97.7,95.1,106.5,119.3,121.2,122.8,126.6,129,115.8,118.6,136,130,137.4,137.1,141.6,151.5,170,185.3,190.1,194.3,211.2,214,224.9,230.2,223.6,242.7,235.5,241.6,246.3,257,263.1,276,309.7,331.1
39,Israel,5.9,6.2,6.1,4.3,6.6,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,1.8,2.1,2.7,2.7
40,Russian Federation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1280.3,1204.1,1119.5,1046.8,981.9,953.9,953,921.6,928.4,950.5,966.5,996.1,1034.5,1106.9,1158.4,1197.1,1220,1230.6
41,Slovenia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.1,3.1,2.9,2.8,2.9,3,2.9,3,3.1,2.9,3.1,3.2,3.3,3.3,3.5,3.5,3.4,3.5
42,South Africa,37.8,37.9,40.4,42.8,45.2,49,54.1,58.7,66.5,73.2,80.9,87.2,91.1,103,109.5,112.6,112.3,116.9,114.6,114.5,116.9,115,123,128.3,134.8,135,143.4,145,145,145.6,144.9,143.7,153.3,157.5,158.6,158,159.6
43,World,5655,5898.5,6224.3,6294.3,6298.8,6628.5,6882.1,7030.7,7360,7318.8,7222.3,7191.2,7226.4,7586.4,7715.9,7960.9,8180.4,8460.3,8640.6,8796.7,8822.2,8862.4,8898.4,9035.7,9246.2,9487.9,9620.8,9730.6,9729.7,9968.9,10104,10208.4,10602.5,11097.3,11456,11742,11939.5
