20,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,29000000,41000000,28000000,44000000,51000000,50000000
21,Cameroon,1046000000,1073000000,1068000000,1190000000,1295000000,1256000000,1225000000,1259000000,1308000000,1365000000,1810000000,2038000000,2089000000,2178000000,2388000000,2431000000,2451000000,2572000000,2664000000,2656000000,2671000000,2702000000,2802000000,2688000000,2753000000,2868000000,3092000000,3116000000,3334000000,3442000000,3474000000,3182000000,3528000000,3920000000,3772000000,3892000000,3847000000
22,Canada,162461000000,181639000000,194654000000,210667000000,202470000000,212689000000,220147000000,235254000000,244121000000,251148000000,266015000000,257795000000,265952000000,286123000000,303645000000,310635000000,316206000000,307435000000,291350000000,296737000000,308264000000,316378000000,323556000000,329834000000,335923000000,355647000000,350698000000,331890000000,345763000000,358509000000,333319000000,350554000000,337445000000,340835000000,363625000000,355344000000,368407000000
23,Chile,4809000000,5730000000,5595000000,6364000000,6388000000,6599000000,6969000000,7251000000,7448000000,7871000000,8150000000,8914000000,9613000000,9975000000,11070000000,11830000000,12823000000,12558000000,10543000000,8915000000,13134000000,16753000000,17207000000,16986000000,18414000000,16815000000,24295000000,20811000000,13884000000,19442000000,21933000000,23473000000,23745000000,21979000000,26483000000,29129000000,23130000000
24,China,30000000000,34000000000,38000000000,43000000000,45000000000,45600000000,47600000000,44600000000,50100000000,58210000000,65550000000,74400000000,86360000000,86780000000,92370000000,94530000000,100010000000,109150000000,118400000000,126720000000,125090000000,132470000000,151819000000,167400000000,190577000000,187966000000,195983000000,208000000000,203807000000,222414000000,277432000000,287974000000,283681000000,353544000000,397017000000,435786000000,485264000000
25,Colombia,6663000000,7298000000,7939000000,8849000000,8901000000,9197000000,10453000000,12070000000,13260000000,14285000000,14291000000,15118000000,15262000000,17051000000,18343000000,21220000000,23133000000,24377000000,26659000000,27497000000,27726000000,22281000000,27857000000,32059000000,32160000000,35491000000,31474000000,30782000000,33741000000,32074000000,31798000000,33968000000,36174000000,40077000000,39803000000,42742000000,44445000000
26,"Congo, the Democratic Republic of the",3437000000,3437000000,3768000000,3394000000,3706000000,4008000000,4065000000,4000000000,3969000000,4243000000,4169000000,4123000000,4479000000,4695000000,5027000000,5259000000,5242000000,5248000000,6915000000,5625000000,5259000000,6054000000,5528000000,5294000000,6159000000,6091000000,5024000000,4709000000,5300000000,5999000000,5872000000,6076000000,6427000000,6854000000,7397000000,7772000000,8276000000
27,Congo,54000000,66000000,50000000,55000000,58000000,63000000,48000000,11000000,77000000,100000000,103000000,174000000,232000000,251000000,291000000,268000000,278000000,289000000,397000000,490000000,480000000,424000000,359000000,322000000,352000000,456000000,451000000,342000000,95000000,295000000,334000000,396000000,342000000,329000000,355000000,372000000,335000000
28,Costa Rica,1028000000,1098000000,1131000000,1248000000,1295000000,1449000000,1337000000,1478000000,1623000000,2120000000,2285000000,2387000000,2786000000,3004000000,2756000000,2891000000,3000000000,3046000000,3328000000,3382000000,3656000000,3584000000,3932000000,3943000000,3554000000,3805000000,4812000000,4261000000,5135000000,5674000000,5654000000,5930000000,5923000000,6486000000,6566000000,6601000000,6770000000
29,Côte d'Ivoire,139000000,226000000,168000000,277000000,383000000,344000000,222000000,167000000,730000000,1352000000,1730000000,1728000000,976000000,373000000,1358000000,1195000000,1052000000,1241000000,1594000000,1322000000,1254000000,1048000000,1099000000,1174000000,1784000000,1782000000,1879000000,1377000000,1754000000,1764000000,1800000000,1729000000,1832000000,1748000000,1437000000,1510000000,1797000000
